player_name,The_Pearson_coefficient
"Jae Crowder",-0.272
"Jae'Sean Tate",-0.309
"Jahidi White",-0.624
"Jahlil Okafor",-0.945
"JaKarr Sampson",0.047
"Jake Layman",-0.118
"Jake Tsakalidis",0.635
"Jake Voskuhl",-0.181
"Jakob Poeltl",0.22
"Jalen Brunson",0.397
"Jalen McDaniels",-0.542
"Jalen Rose",-0.513
"Jalen Smith",0.877
"Jamaal Magloire",0.282
"Jamaal Tinsley",0.517
"Jamal Crawford",0.345
"Jamal Mashburn",-0.557
"Jamal Murray",0.482
"Jamal Sampson",-0.371
"Jamario Moon",0.229
"Jameer Nelson",0.455
"James Anderson",0.653
"James Ennis III",-0.031
"James Harden",0.264
"James Johnson",0.17
"James Jones",-0.484
"James Michael McAdoo",-0.362
"James Nunnally",-0.841
"James Posey",-0.201
"James Robinson",0.422
"James Singleton",0.159
"James White",1
"James Young",0.572
"Jamie Feick",-0.474
"Jamison Brewer",0.343
"JaMychal Green",-0.346
"Jan Vesely",0.273
"Jannero Pargo",0.288
"Jared Cunningham",0.747
"Jared Dudley",0.673
"Jared Harper",0.965
"Jared Jeffries",0.544
"Jared Sullinger",-0.181
"Jarell Eddie",0.852
"Jarell Martin",0.346
"Jaren Jackson",-0.363
"Jaren Jackson Jr.",-0.648
"Jarnell Stokes",-0.821
"Jarred Vanderbilt",-0.71
"Jarrell Brantley",0.696
"Jarrett Allen",0.555
"Jarrett Culver",-0.392
"Jarrett Jack",-0.756
"Jarron Collins",0.731
"Jarvis Hayes",-0.225
"Jason Caffey",-0.582
"Jason Collier",0.061
"Jason Collins",0.158
"Jason Hart",-0.432
"Jason Kapono",0.516
"Jason Kidd",-0.45
"Jason Maxiell",-0.213
"Jason Richardson",0.111
"Jason Smith",0.166
"Jason Terry",-0.069
"Jason Thompson",0.049
"Jason Williams",0.051
"JaVale McGee",-0.399
"Javonte Green",-0.811
"Jawad Williams",0.447
"Jaxson Hayes",0.267
"Jay Scrubb",-0.927
"Jaylen Brown",0.836
"Jaylen Hoard",0.355
"Jaylen Morris",-1
"Jaylen Nowell",0.556
